SampleCode,SampleType,AVG_Norm,contIndex
636018,Brain,672.1223373,0.02115
636019,Brain,189.2330985,0.02143
636020,Brain,1076.093786,0.02804
636021,Brain,592.532066,0.02726
636022,Brain,468.511221,0.02797
636023,Brain,718.6931611,0.02544
636024,Brain,1271.986778,0.03525
636025,Brain,249.3620584,0.02199
636026,Brain,1174.92852,0.02445
636027,Brain,245.1509567,0.02281
636028,Brain,331.9258907,0.02549
636029,Brain,690.5382297,0.03391
587433,Breast,800.222256,0.03264
587434,Breast,601.5188099,0.03276
587436,Breast,688.050282,0.02874
587437,Breast,298.6804326,0.02441
587438,Breast,232.1575847,0.02352
587439,Breast,501.8887798,0.0292
587441,Breast,524.7158006,0.02455
635981,Breast,259.9503515,0.0184
587442,Breast,2333.928733,0.03429
636774,Breast,396.5828508,0.02012
587443,Breast,426.739506,0.03129
587444,Breast,667.7387722,0.02745
635983,Breast,374.7753921,0.01965
636861,Breast,644.4624236,0.01646
587445,Breast,419.9267276,0.02174
635984,Breast,205.9340422,0.02065
587446,Breast,288.9641156,0.03534
587447,Breast,830.2065714,0.02655
587448,Breast,224.6648415,0.03345
587449,Breast,186.3489838,0.02214
587450,Breast,169.4724897,0.02984
636754,Breast,368.2353213,0.02833
587451,Breast,184.2877208,0.02726
587452,Breast,413.6500355,0.0345
587453,Breast,876.9536134,0.0247
587454,Breast,125.081419,0.03144
587455,Breast,272.5806669,0.02743
587456,Breast,1028.049247,0.02531
587457,Breast,1217.37182,0.02697
636038,Breast,270.5009349,0.02752
587458,Breast,931.3192534,0.02638
635985,Breast,1319.978344,0.0222
635986,Breast,453.1915437,0.02271
587459,Breast,517.9908971,0.02386
587460,Breast,785.3817522,0.02755
587462,Breast,281.1776289,0.02311
587463,Breast,150.0859849,0.01881
587464,Breast,415.7283951,0.02997
587465,Breast,407.7597755,0.01861
587467,Breast,410.6497448,0.01885
587468,Breast,309.1559852,0.02501
635987,Breast,290.9168684,0.01788
635988,Breast,546.5781039,0.02008
587469,Breast,214.487258,0.02815
635989,Breast,1026.699957,0.03377
587470,Breast,229.509594,0.03184
587472,Breast,454.2035054,0.03246
635990,Breast,353.6620724,0.02668
587473,Breast,387.7256761,0.01898
587474,Breast,391.6891341,0.01692
587475,Breast,177.1783141,0.01685
635991,Breast,335.2199828,0.0311
587477,Breast,163.0834334,0.01945
636801,Breast,632.2037138,0.03222
635992,Breast,477.8335755,0.04067
587478,Breast,610.915381,0.0232
635993,Breast,738.6513413,0.03106
635994,Breast,120.9585181,0.02657
635996,Breast,214.2994926,0.0223
635995,Breast,205.2953941,0.02102
636186,Breast,572.4711483,0.0226
636853,Breast,164.9712368,0.0198
636039,Breast,703.8432833,0.02921
587479,Breast,403.3946793,0.02102
587480,Breast,719.4060069,0.02125
639187,Breast,790.3786149,0.01897
635997,Breast,2493.305426,0.02624
636828,Breast,2157.742385,0.03209
587482,Breast,1864.893228,0.02012
587483,Breast,491.8520643,0.01933
636821,Cervix,232.9690088,0.03226
636040,Cervix,278.2571714,0.02941
636798,Cervix,247.4067493,0.02179
636435,Cervix,515.2482099,0.02865
636124,Cervix,170.5206313,0.01882
636191,Cervix,433.0474504,0.01905
636041,Cervix,518.4648448,0.04418
636441,ColoRectal,334.0155337,0.03407
587484,ColoRectal,442.4968408,0.04099
636799,ColoRectal,391.8120971,0.01958
587485,ColoRectal,321.829849,0.0187
639164,ColoRectal,617.1819135,0.02048
587486,ColoRectal,213.8969536,0.01851
587487,ColoRectal,879.0342194,0.02104
587488,ColoRectal,315.7539506,0.02234
587489,ColoRectal,182.2866002,0.03481
636043,ColoRectal,408.718266,0.03184
636044,ColoRectal,379.3195623,0.03944
587491,ColoRectal,378.8230292,0.02079
587495,ColoRectal,873.8394907,0.02555
587492,ColoRectal,560.1589608,0.01555
639165,ColoRectal,158.0701654,0.03942
587496,ColoRectal,241.1231127,0.02599
587497,ColoRectal,352.0445666,0.02954
639156,ColoRectal,134.722693,0.03079
639157,ColoRectal,122.6601702,0.02994
636125,ColoRectal,342.0887231,0.02543
636100,ColoRectal,365.7858176,0.03369
636045,ColoRectal,352.5340588,0.03359
587499,ColoRectal,737.9335676,0.03016
587500,ColoRectal,381.448266,0.02869
636046,ColoRectal,487.7846468,0.03973
639158,ColoRectal,794.1516389,0.02388
636752,ColoRectal,1003.594063,0.03709
639159,ColoRectal,226.9835224,0.02595
636436,ColoRectal,487.463697,0.02325
636126,ColoRectal,482.161694,0.0251
587503,ColoRectal,203.8316667,0.02584
587504,ColoRectal,434.2457588,0.02211
636048,ColoRectal,378.8013177,0.03576
636127,ColoRectal,434.5193504,0.02609
636793,ColoRectal,296.7799819,0.02106
587507,ColoRectal,249.1594164,0.02036
636827,ColoRectal,357.0540497,0.01929
636128,ColoRectal,494.4544874,0.01837
639166,ColoRectal,310.8490915,0.0191
587508,ColoRectal,153.7814315,0.02305
636437,ColoRectal,232.6051359,0.03326
636836,ColoRectal,324.138472,0.02388
587510,ColoRectal,688.6978327,0.02095
636192,ColoRectal,458.7057059,0.02116
587511,ColoRectal,633.445979,0.02417
636101,ColoRectal,325.5776208,0.01832
636049,ColoRectal,279.4867664,0.03362
587514,ColoRectal,321.4099372,0.02211
636050,ColoRectal,468.3138637,0.03635
636051,ColoRectal,217.5199586,0.02874
636438,ColoRectal,202.2106382,0.02265
636084,ColoRectal,486.2748266,0.01574
